category,city,country_region,customer_id,customer_name,order_date,order_id,postal_code,product_id,product_name,region,row_id,segment,ship_date,ship_mode,ship_status,state,sub_category,days_to_ship_actual,days_to_ship_scheduled,discount,profit,quantity,sales,sales_forecast
Technology,San Francisco,United States,AH-10210,Alan Hwang,2018-11-29,CA-2018-153983,94122,TEC-PH-10004586,Wilson SignalBoost 841262 DB PRO Amplifier Kit,West,4416,Consumer,2018-12-06,Standard Class,Shipped Late,California,Phones,7,6,0.2,72,2,576,596
Technology,San Francisco,United States,JK-15205,Jamie Kunitz,2021-10-30,CA-2021-123491,94122,TEC-PH-10003505,Geemarc AmpliPOWER60,West,1708,Consumer,2021-11-05,Standard Class,Shipped On Time,California,Phones,6,6,0.2,17,2,148,154
Technology,San Francisco,United States,SH-20395,Shahid Hopkins,2018-11-02,CA-2018-115889,94122,TEC-PH-10001615,AT&T CL82213,West,7507,Consumer,2018-11-06,Standard Class,Shipped Early,California,Phones,4,6,0.2,5,2,46,48
Technology,Woodland,United States,BD-11320,Bill Donatelli,2020-09-18,CA-2020-110086,95695,TEC-PH-10001299,Polycom CX300 Desktop Phone USB VoIP phone,West,9613,Consumer,2020-09-22,Standard Class,Shipped Early,California,Phones,4,6,0.2,24,2,240,248
Technology,Louisville,United States,LT-16765,Larry Tron,2019-05-12,US-2019-122910,80027,TEC-PH-10000441,VTech DS6151,West,4716,Consumer,2019-05-16,Standard Class,Shipped Early,Colorado,Phones,4,6,0.2,20,2,202,209
Technology,Great Falls,United States,MM-18055,Michelle Moray,2018-04-11,CA-2018-110555,59405,TEC-PH-10000586,AT&T SB67148 SynJ,West,8359,Consumer,2018-04-18,Standard Class,Shipped Late,Montana,Phones,7,6,0.2,9,2,106,109
Technology,North Las Vegas,United States,KM-16720,Kunst Miller,2018-07-26,CA-2018-126760,89031,TEC-PH-10001363,Apple iPhone 5S,West,3838,Consumer,2018-08-02,Standard Class,Shipped Late,Nevada,Phones,7,6,0.2,114,2,912,944
Technology,Seattle,United States,SW-20455,Shaun Weien,2020-09-27,CA-2020-140249,98103,TEC-PH-10002584,Samsung Galaxy S4,West,6908,Consumer,2020-10-03,Standard Class,Shipped On Time,Washington,Phones,6,6,0.2,125,2,1002,1037
Technology,Seattle,United States,JC-15775,John Castell,2019-10-18,CA-2019-127824,98115,TEC-PH-10004094,Motorola L703CM,West,9415,Consumer,2019-10-22,Standard Class,Shipped Early,Washington,Phones,4,6,0.2,16,2,250,258
Technology,Glendale,United States,MB-17305,Maria Bertelson,2018-08-08,CA-2018-151708,85301,TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,West,1467,Consumer,2018-08-14,Standard Class,Shipped On Time,Arizona,Accessories,6,6,0.2,-11,3,96,99
Technology,Long Beach,United States,DL-12865,Dan Lawera,2020-09-25,US-2020-125402,90805,TEC-CO-10001943,Canon PC-428 Personal Copier,West,9840,Consumer,2020-10-01,Standard Class,Shipped On Time,California,Copiers,6,6,0.2,162,3,480,497
Technology,Los Angeles,United States,CC-12145,Charles Crestani,2019-01-30,CA-2019-121797,90049,TEC-MA-10000488,Bady BDG101FRU Card Printer,West,2710,Consumer,2019-02-06,Standard Class,Shipped Late,California,Machines,7,6,0.2,216,3,1920,1987
Technology,Los Angeles,United States,JD-15790,John Dryer,2019-04-02,US-2019-159513,90049,TEC-MA-10003329,"Vtech AT&T CL2940 Corded Speakerphone, Black",West,5781,Consumer,2019-04-09,Standard Class,Shipped Late,California,Machines,7,6,0.2,24,3,72,74
Technology,Santa Ana,United States,SV-20785,Stewart Visinsky,2020-05-26,CA-2020-148852,92704,TEC-MA-10002428,Fellowes Powershred HS-440 4-Sheet High Security Shredder,West,6609,Consumer,2020-05-31,Standard Class,Shipped Early,California,Machines,5,6,0.2,116,3,372,385
Technology,Seattle,United States,MS-17770,Maxwell Schwartz,2020-08-23,CA-2020-150350,98105,TEC-MA-10001972,Okidata C331dn Printer,West,3113,Consumer,2020-08-30,Standard Class,Shipped Late,Washington,Machines,7,6,0.2,63,3,838,867
Technology,Anaheim,United States,BD-11620,Brian DeCherney,2020-12-31,CA-2020-100202,92804,TEC-PH-10002563,Adtran 1202752G1,West,2822,Consumer,2021-01-05,Standard Class,Shipped Early,California,Phones,5,6,0.2,23,3,302,313
Technology,Inglewood,United States,KM-16660,Khloe Miller,2021-12-15,CA-2021-154116,90301,TEC-PH-10000675,Panasonic KX TS3282B Corded phone,West,9701,Consumer,2021-12-19,Standard Class,Shipped Early,California,Phones,4,6,0.2,15,3,197,204
Technology,Long Beach,United States,CS-12355,Christine Sundaresam,2019-06-23,CA-2019-139164,90805,TEC-PH-10003931,JBL Micro Wireless Portable Bluetooth Speaker,West,6706,Consumer,2019-06-28,Standard Class,Shipped Early,California,Phones,5,6,0.2,9,3,144,149
Technology,Los Angeles,United States,BD-11320,Bill Donatelli,2020-08-15,CA-2020-167241,90004,TEC-PH-10004614,AT&T 841000 Phone,West,8897,Consumer,2020-08-22,Standard Class,Shipped Late,California,Phones,7,6,0.2,10,3,166,171
Technology,Los Angeles,United States,AZ-10750,Annie Zypern,2019-04-22,CA-2019-151253,90008,TEC-PH-10002923,"Logitech B530 USB Headset - headset - Full size, Binaural",West,6293,Consumer,2019-04-26,Standard Class,Shipped Early,California,Phones,4,6,0.2,8,3,89,92
Technology,Los Angeles,United States,GM-14680,Greg Matthias,2020-06-09,US-2020-139710,90045,TEC-PH-10001198,Avaya 4621SW VoIP phone,West,1927,Consumer,2020-06-15,Standard Class,Shipped On Time,California,Phones,6,6,0.2,20,3,177,184
Technology,Los Angeles,United States,TH-21100,Thea Hendricks,2021-01-20,CA-2021-161809,90045,TEC-PH-10004922,RCA Visys Integrated PBX 8-Line Router,West,1659,Consumer,2021-01-26,Standard Class,Shipped On Time,California,Phones,6,6,0.2,10,3,161,166
Technology,Los Angeles,United States,CB-12025,Cassandra Brandow,2019-08-28,CA-2019-121188,90049,TEC-PH-10003589,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,West,8059,Consumer,2019-09-04,Standard Class,Shipped Late,California,Phones,7,6,0.2,15,3,43,45
Technology,Los Angeles,United States,CL-12565,Clay Ludtke,2019-12-30,CA-2019-135580,90049,TEC-PH-10004345,Cisco SPA 502G IP Phone,West,6013,Consumer,2020-01-03,Standard Class,Shipped Early,California,Phones,4,6,0.2,36,3,288,298
Technology,Los Angeles,United States,JG-15160,James Galang,2021-12-29,CA-2021-118885,90049,TEC-PH-10002563,Adtran 1202752G1,West,1879,Consumer,2022-01-02,Standard Class,Shipped Early,California,Phones,4,6,0.2,23,3,302,313
Technology,Redding,United States,EB-13870,Emily Burns,2018-11-08,US-2018-126340,96003,TEC-PH-10004447,Toshiba IPT2010-SD IP Telephone,West,5766,Consumer,2018-11-14,Standard Class,Shipped On Time,California,Phones,6,6,0.2,25,3,334,345
Technology,San Francisco,United States,RB-19360,Raymond Buch,2020-07-14,CA-2020-109953,94122,TEC-PH-10004093,Panasonic Kx-TS550,West,7224,Consumer,2020-07-18,Standard Class,Shipped Early,California,Phones,4,6,0.2,12,3,110,114
Technology,San Francisco,United States,TM-21010,Tamara Manning,2021-01-20,CA-2021-144589,94122,TEC-PH-10003072,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,West,2409,Consumer,2021-01-25,Standard Class,Shipped Early,California,Phones,5,6,0.2,130,3,360,373
Technology,Westminster,United States,JL-15505,Jeremy Lonsdale,2021-08-07,CA-2021-156776,92683,TEC-PH-10002415,Polycom VoiceStation 500 Conference phone,West,9180,Consumer,2021-08-11,Standard Class,Shipped Early,California,Phones,4,6,0.2,44,3,708,733
Technology,Westminster,United States,TC-21295,Toby Carlisle,2021-07-14,CA-2021-121048,92683,TEC-PH-10004977,GE 30524EE4,West,7502,Consumer,2021-07-18,Standard Class,Shipped Early,California,Phones,4,6,0.2,53,3,470,487
Technology,Englewood,United States,CS-12130,Chad Sievert,2020-08-28,US-2020-144211,80112,TEC-PH-10002890,AT&T 17929 Lendline Telephone,West,2693,Consumer,2020-09-02,Standard Class,Shipped Early,Colorado,Phones,5,6,0.2,8,3,109,112
Technology,Portland,United States,ND-18370,Natalie DeCherney,2018-11-01,CA-2018-148915,97206,TEC-PH-10000673,Plantronics Voyager Pro HD - Bluetooth Headset,West,2833,Consumer,2018-11-05,Standard Class,Shipped Early,Oregon,Phones,4,6,0.2,55,3,156,161
Technology,Salem,United States,TB-21250,Tim Brockman,2018-12-08,CA-2018-129364,97301,TEC-PH-10003095,Samsung HM1900 Bluetooth Headset,West,3667,Consumer,2018-12-13,Standard Class,Shipped Early,Oregon,Phones,5,6,0.2,20,3,53,55
Technology,Seattle,United States,BD-11320,Bill Donatelli,2021-06-10,CA-2021-158071,98103,TEC-PH-10002923,"Logitech B530 USB Headset - headset - Full size, Binaural",West,5367,Consumer,2021-06-15,Standard Class,Shipped Early,Washington,Phones,5,6,0.2,8,3,89,92
Technology,Seattle,United States,GT-14710,Greg Tran,2020-12-06,US-2020-169040,98105,TEC-PH-10002834,Google Nexus 5,West,2935,Consumer,2020-12-12,Standard Class,Shipped On Time,Washington,Phones,6,6,0.2,27,3,432,447
Technology,Avondale,United States,PB-19150,Philip Brown,2018-11-30,CA-2018-146843,85323,TEC-AC-10002550,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 30/Pack",West,9196,Consumer,2018-12-06,Standard Class,Shipped On Time,Arizona,Accessories,6,6,0.2,-17,4,102,106
Technology,Peoria,United States,SC-20725,Steven Cartwright,2019-08-17,CA-2019-119627,85345,TEC-AC-10001142,First Data FD10 PIN Pad,West,9436,Consumer,2019-08-23,Standard Class,Shipped On Time,Arizona,Accessories,6,6,0.2,-32,4,253,262
Technology,Colorado Springs,United States,IM-15070,Irene Maddox,2019-12-11,CA-2019-104346,80906,TEC-AC-10004396,Logitech Keyboard K120,West,4788,Consumer,2019-12-16,Standard Class,Shipped Early,Colorado,Accessories,5,6,0.2,-7,4,58,60
Technology,Louisville,United States,AB-10165,Alan Barnes,2019-05-10,CA-2019-144043,80027,TEC-AC-10002718,Belkin Standard 104 key USB Keyboard,West,8465,Consumer,2019-05-15,Standard Class,Shipped Early,Colorado,Accessories,5,6,0.2,-3,4,47,48
Technology,Los Angeles,United States,WB-21850,William Brown,2018-11-04,CA-2018-125829,90045,TEC-MA-10003246,Hewlett-Packard Deskjet D4360 Printer,West,4313,Consumer,2018-11-11,Standard Class,Shipped Late,California,Machines,7,6,0.2,140,4,448,464
Technology,Los Angeles,United States,JL-15835,John Lee,2018-04-18,CA-2018-110849,90049,TEC-MA-10002859,Ativa MDM8000 8-Sheet Micro-Cut Shredder,West,3533,Consumer,2018-04-23,Standard Class,Shipped Early,California,Machines,5,6,0.2,97,4,288,298
Technology,Brentwood,United States,AI-10855,Arianne Irving,2018-12-29,CA-2018-102330,94513,TEC-PH-10001051,HTC One,West,7694,Consumer,2019-01-03,Standard Class,Shipped Early,California,Phones,5,6,0.2,36,4,320,331
Technology,Los Angeles,United States,VG-21790,Vivek Gonzalez,2020-08-06,CA-2020-151092,90032,TEC-PH-10001700,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,West,5943,Consumer,2020-08-13,Standard Class,Shipped Late,California,Phones,7,6,0.2,18,4,211,219
Technology,Los Angeles,United States,DO-13645,Doug O'Connell,2021-11-27,CA-2021-133207,90036,TEC-PH-10004100,Griffin GC17055 Auxiliary Audio Cable,West,5838,Consumer,2021-12-03,Standard Class,Shipped On Time,California,Phones,6,6,0.2,6,4,58,60
Technology,Los Angeles,United States,LR-16915,Lena Radford,2020-09-02,CA-2020-126732,90036,TEC-PH-10001530,Cisco Unified IP Phone 7945G VoIP phone,West,9235,Consumer,2020-09-06,Standard Class,Shipped Early,California,Phones,4,6,0.2,68,4,1091,1129
Technology,San Diego,United States,BD-11320,Bill Donatelli,2020-06-24,CA-2020-130680,92024,TEC-PH-10004833,Macally Suction Cup Mount,West,3529,Consumer,2020-06-29,Standard Class,Shipped Early,California,Phones,5,6,0.2,-10,4,38,40
Technology,San Diego,United States,AZ-10750,Annie Zypern,2020-02-05,CA-2020-100993,92037,TEC-PH-10001448,Anker Astro 15000mAh USB Portable Charger,West,8145,Consumer,2020-02-10,Standard Class,Shipped Early,California,Phones,5,6,0.2,-32,4,160,166
Technology,San Diego,United States,BS-11665,Brian Stugart,2019-11-17,CA-2019-126725,92105,TEC-PH-10003174,RCA ViSYS 25825 Wireless digital phone,West,5842,Consumer,2019-11-21,Standard Class,Shipped Early,California,Phones,4,6,0.2,52,4,416,431
Technology,Santa Ana,United States,SV-20785,Stewart Visinsky,2020-05-26,CA-2020-148852,92704,TEC-PH-10003885,Cisco SPA508G,West,6607,Consumer,2020-05-31,Standard Class,Shipped Early,California,Phones,5,6,0.2,24,4,211,219
Technology,Redmond,United States,WB-21850,William Brown,2019-08-10,US-2019-156496,97756,TEC-PH-10000576,AT&T 1080 Corded phone,West,6644,Consumer,2019-08-16,Standard Class,Shipped On Time,Oregon,Phones,6,6,0.2,38,4,438,454
Technology,Tigard,United States,NW-18400,Natalie Webber,2018-11-26,CA-2018-168984,97224,TEC-PH-10000038,Jawbone MINI JAMBOX Wireless Bluetooth Speaker,West,1638,Consumer,2018-12-02,Standard Class,Shipped On Time,Oregon,Phones,6,6,0.2,-88,4,438,454
Technology,Mesa,United States,JL-15850,John Lucas,2019-04-02,US-2019-142811,85204,TEC-PH-10003095,Samsung HM1900 Bluetooth Headset,West,7711,Consumer,2019-04-07,Standard Class,Shipped Early,Arizona,Phones,5,6,0.2,33,5,88,91
Technology,Phoenix,United States,JM-15865,John Murray,2019-08-16,US-2019-128090,85023,TEC-PH-10002624,Samsung Galaxy S4 Mini,West,2549,Consumer,2019-08-22,Standard Class,Shipped On Time,Arizona,Phones,6,6,0.2,211,5,1880,1946
Technology,Dublin,United States,KL-16645,Ken Lonsdale,2021-11-13,US-2021-140312,94568,TEC-PH-10003442,Samsung Replacement EH64AVFWE Premium Headset,West,9672,Consumer,2021-11-19,Standard Class,Shipped On Time,California,Phones,6,6,0.2,1,5,22,23
Technology,Los Angeles,United States,RB-19435,Richard Bierner,2018-11-25,US-2018-144078,90004,TEC-PH-10001580,Logitech Mobile Speakerphone P710e - speaker phone,West,7621,Consumer,2018-11-29,Standard Class,Shipped Early,California,Phones,4,6,0.2,47,5,540,559
Technology,Los Angeles,United States,BG-11740,Bruce Geld,2020-08-30,CA-2020-165995,90008,TEC-PH-10004908,Panasonic KX TS3282W Corded phone,West,6338,Consumer,2020-09-06,Standard Class,Shipped Late,California,Phones,7,6,0.2,42,5,340,352
Technology,Los Angeles,United States,RD-19930,Russell D'Ascenzo,2019-07-25,CA-2019-139248,90032,TEC-PH-10004094,Motorola L703CM,West,6944,Consumer,2019-07-30,Standard Class,Shipped Early,California,Phones,5,6,0.2,39,5,624,646
Technology,Los Angeles,United States,MC-18100,Mick Crebagga,2018-06-18,CA-2018-123855,90036,TEC-PH-10000215,Plantronics Cordless Phone Headset with In-line Volume - M214C,West,9765,Consumer,2018-06-23,Standard Class,Shipped Early,California,Phones,5,6,0.2,12,5,140,145
Technology,Los Angeles,United States,TZ-21580,Tracy Zic,2020-02-22,US-2020-143280,90045,TEC-PH-10002398,AT&T 1070 Corded Phone,West,5405,Consumer,2020-02-26,Standard Class,Shipped Early,California,Phones,4,6,0.2,56,5,446,462
Technology,Los Angeles,United States,JG-15160,James Galang,2019-12-19,CA-2019-157084,90049,TEC-PH-10002922,ShoreTel ShorePhone IP 230 VoIP phone,West,1625,Consumer,2019-12-24,Standard Class,Shipped Early,California,Phones,5,6,0.2,84,5,676,700
Technology,San Diego,United States,JK-15370,Jay Kimmel,2021-08-07,US-2021-155999,92105,TEC-PH-10000439,GE DSL Phone Line Filter,West,4105,Consumer,2021-08-13,Standard Class,Shipped On Time,California,Phones,6,6,0.2,18,5,160,166
Technology,San Francisco,United States,GA-14515,George Ashbrook,2019-04-17,CA-2019-155306,94122,TEC-PH-10002310,Plantronics Calisto P620-M USB Wireless Speakerphone System,West,2755,Consumer,2019-04-21,Standard Class,Shipped Early,California,Phones,4,6,0.2,69,5,784,811
Technology,San Jose,United States,GM-14680,Greg Matthias,2018-05-10,CA-2018-103310,95123,TEC-PH-10001817,Wilson Electronics DB Pro Signal Booster,West,9198,Consumer,2018-05-15,Standard Class,Shipped Early,California,Phones,5,6,0.2,125,5,1432,1482
Technology,Kent,United States,AI-10855,Arianne Irving,2018-05-10,CA-2018-159709,98031,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",West,5198,Consumer,2018-05-15,Standard Class,Shipped Early,Washington,Phones,5,6,0.2,4,5,44,45
Technology,Los Angeles,United States,JM-15580,Jill Matthias,2020-08-14,CA-2020-136021,90045,TEC-MA-10000423,Texas Instruments TI-34 Scientific Calculator,West,5381,Consumer,2020-08-18,Standard Class,Shipped Early,California,Machines,4,6,0.2,36,6,106,109
Technology,Los Angeles,United States,CL-12565,Clay Ludtke,2019-12-30,CA-2019-135580,90049,TEC-MA-10004002,Zebra GX420t Direct Thermal/Thermal Transfer Printer,West,6011,Consumer,2020-01-03,Standard Class,Shipped Early,California,Machines,4,6,0.2,287,6,2549,2638
Technology,Los Angeles,United States,SB-20185,Sarah Brown,2019-05-22,CA-2019-149846,90045,TEC-PH-10003645,Aastra 57i VoIP phone,West,8105,Consumer,2019-05-26,Standard Class,Shipped Early,California,Phones,4,6,0.2,58,6,776,803
Technology,Glendale,United States,FO-14305,Frank Olsen,2021-06-08,US-2021-107979,85301,TEC-AC-10002006,Memorex Micro Travel Drive 16 GB,West,9645,Consumer,2021-06-13,Standard Class,Shipped Early,Arizona,Accessories,5,6,0.2,12,7,90,93
Technology,Portland,United States,RD-19900,Ruben Dartt,2021-09-07,CA-2021-124401,97206,TEC-AC-10002926,Logitech Wireless Marathon Mouse M705,West,2100,Consumer,2021-09-12,Standard Class,Shipped Early,Oregon,Accessories,5,6,0.2,80,7,280,290
Technology,Los Angeles,United States,SB-20185,Sarah Brown,2019-05-22,CA-2019-149846,90045,TEC-MA-10004002,Zebra GX420t Direct Thermal/Thermal Transfer Printer,West,8103,Consumer,2019-05-26,Standard Class,Shipped Early,California,Machines,4,6,0.2,334,7,2973,3077
Technology,Los Angeles,United States,MG-18145,Mike Gockenbach,2021-10-07,CA-2021-108574,90045,TEC-PH-10003555,Motorola HK250 Universal Bluetooth Headset,West,2406,Consumer,2021-10-11,Standard Class,Shipped Early,California,Phones,4,6,0.2,-29,7,129,133
Technology,Los Angeles,United States,WB-21850,William Brown,2018-11-04,CA-2018-125829,90045,TEC-PH-10001079,Polycom SoundPoint Pro SE-225 Corded phone,West,4309,Consumer,2018-11-11,Standard Class,Shipped Late,California,Phones,7,6,0.2,67,7,666,690
Technology,Los Angeles,United States,ES-14020,Erica Smith,2021-09-15,US-2021-163300,90049,TEC-PH-10001700,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,West,5992,Consumer,2021-09-21,Standard Class,Shipped On Time,California,Phones,6,6,0.2,32,7,370,382
Technology,Oakland,United States,LC-16885,Lena Creighton,2019-11-20,CA-2019-124058,94601,TEC-PH-10004774,Gear Head AU3700S Headset,West,4059,Consumer,2019-11-24,Standard Class,Shipped Early,California,Phones,4,6,0.2,-15,7,73,75
Technology,Pasadena,United States,CS-11950,Carlos Soltero,2021-05-07,CA-2021-102820,91104,TEC-PH-10003437,Blue Parrot B250XT Professional Grade Wireless Bluetooth Headset with,West,9374,Consumer,2021-05-11,Standard Class,Shipped Early,California,Phones,4,6,0.2,52,7,420,435
Technology,Redmond,United States,WB-21850,William Brown,2019-08-10,US-2019-156496,97756,TEC-PH-10004188,OtterBox Commuter Series Case - Samsung Galaxy S4,West,6645,Consumer,2019-08-16,Standard Class,Shipped On Time,Oregon,Phones,6,6,0.2,-31,7,140,145
Technology,Seattle,United States,MW-18220,Mitch Webber,2018-08-25,CA-2018-103660,98103,TEC-PH-10000895,Polycom VVX 310 VoIP phone,West,6579,Consumer,2018-08-30,Standard Class,Shipped Early,Washington,Phones,5,6,0.2,76,7,1008,1043
Technology,Long Beach,United States,DL-12865,Dan Lawera,2020-09-25,US-2020-125402,90805,TEC-PH-10003356,"SmartStand Mobile Device Holder, Assorted Colors",West,9841,Consumer,2020-10-01,Standard Class,Shipped On Time,California,Phones,6,6,0.2,4,8,45,46
Technology,San Diego,United States,RD-19900,Ruben Dartt,2018-11-10,CA-2018-158372,92037,TEC-PH-10002103,Jabra SPEAK 410,West,3203,Consumer,2018-11-16,Standard Class,Shipped On Time,California,Phones,6,6,0.2,60,8,602,623
Technology,San Francisco,United States,BW-11200,Ben Wallace,2018-08-12,CA-2018-109897,94122,TEC-PH-10003691,BlackBerry Q10,West,8244,Consumer,2018-08-16,Standard Class,Shipped Early,California,Phones,4,6,0.2,50,8,806,835
Technology,Seattle,United States,DK-12895,Dana Kaydos,2021-08-12,CA-2021-152310,98103,TEC-PH-10002538,Grandstream GXP1160 VoIP phone,West,8256,Consumer,2021-08-19,Standard Class,Shipped Late,Washington,Phones,7,6,0.2,27,8,243,251
Technology,Denver,United States,NP-18700,Nora Preis,2021-06-26,CA-2021-138310,80219,TEC-AC-10001990,Kensington Orbit Wireless Mobile Trackball for PC and Mac,West,3601,Consumer,2021-06-30,Standard Class,Shipped Early,Colorado,Accessories,4,6,0.2,65,9,432,447
Technology,Denver,United States,AP-10915,Arthur Prichep,2018-08-23,CA-2018-124737,80219,TEC-PH-10000149,Cisco SPA525G2 IP Phone - Wireless,West,7023,Consumer,2018-08-27,Standard Class,Shipped Early,Colorado,Phones,4,6,0.2,11,9,144,149
Technology,Las Vegas,United States,RD-19480,Rick Duston,2021-05-20,US-2021-166688,89115,TEC-PH-10004094,Motorola L703CM,West,9144,Consumer,2021-05-26,Standard Class,Shipped On Time,Nevada,Phones,6,6,0.2,70,9,1123,1162
Technology,Salem,United States,TB-21250,Tim Brockman,2018-12-08,CA-2018-129364,97301,TEC-AC-10004227,SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,West,3669,Consumer,2018-12-13,Standard Class,Shipped Early,Oregon,Accessories,5,6,0.2,-18,10,104,108
Technology,Springfield,United States,JA-15970,Joseph Airdo,2018-09-17,CA-2018-131947,97477,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",West,7603,Consumer,2018-09-22,Standard Class,Shipped Early,Oregon,Accessories,5,6,0.2,17,10,56,58
Technology,Los Angeles,United States,MG-18145,Mike Gockenbach,2021-10-07,CA-2021-108574,90045,TEC-PH-10000702,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",West,2407,Consumer,2021-10-11,Standard Class,Shipped Early,California,Phones,4,6,0.2,27,10,80,83
Technology,San Francisco,United States,CM-12115,Chad McGuire,2021-10-02,CA-2021-137414,94109,TEC-MA-10002930,Ricoh - Ink Collector Unit for GX3000 Series Printers,West,7207,Consumer,2021-10-06,Standard Class,Shipped Early,California,Machines,4,6,0.2,32,11,369,382
Technology,Springfield,United States,JA-15970,Joseph Airdo,2018-09-17,CA-2018-131947,97477,TEC-MA-10004086,Plantronics Single Ear Headset,West,7601,Consumer,2018-09-22,Standard Class,Shipped Early,Oregon,Machines,5,6,0.7,-22,5,30,31
Furniture,Rapid City,United States,CA-11965,Carol Adams,2018-01-26,CA-2018-167997,57701,FUR-BO-10004409,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Central,8151,Corporate,2018-01-29,First Class,Shipped Late,South Dakota,Bookcases,3,1,0,40,2,142,147
Furniture,Dallas,United States,JP-15460,Jennifer Patt,2021-11-23,CA-2021-156622,75220,FUR-TA-10003008,"Lesro Round Back Collection Coffee Table, End Table",Central,8977,Corporate,2021-11-26,First Class,Shipped Late,Texas,Tables,3,1,0.3,-31,1,128,132
Furniture,Chicago,United States,BP-11185,Ben Peterman,2020-12-23,CA-2020-115574,60623,FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",Central,2306,Corporate,2020-12-24,First Class,Shipped On Time,Illinois,Bookcases,1,1,0.3,-14,2,141,146
Furniture,Arlington,United States,BF-11020,Barry Französisch,2021-09-08,US-2021-124779,76017,FUR-CH-10003535,"Global Armless Task Chair, Royal Blue",Central,6654,Corporate,2021-09-11,First Class,Shipped Late,Texas,Chairs,3,1,0.3,-40,5,213,221
Furniture,Huntsville,United States,EA-14035,Erin Ashbrook,2020-07-02,CA-2020-102813,77340,FUR-CH-10000665,"Global Airflow Leather Mesh Back Chair, Black",Central,8777,Corporate,2020-07-03,First Class,Shipped On Time,Texas,Chairs,1,1,0.3,0,5,528,547
Furniture,Odessa,United States,JG-15310,Jason Gross,2020-03-03,CA-2020-116799,79762,FUR-CH-10004983,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Central,3757,Corporate,2020-03-06,First Class,Shipped Late,Texas,Chairs,3,1,0.3,-56,5,563,583
Furniture,Pasadena,United States,LC-16930,Linda Cazamias,2020-08-26,CA-2020-152289,77506,FUR-CH-10002126,Hon Deluxe Fabric Upholstered Stacking Chairs,Central,1464,Corporate,2020-08-28,First Class,Shipped Late,Texas,Chairs,2,1,0.3,-29,6,1025,1061
Furniture,San Antonio,United States,SC-20770,Stewart Carmichael,2021-11-19,CA-2021-112529,78207,FUR-TA-10002622,"Bush Andora Conference Table, Maple/Graphite Gray Finish",Central,3615,Corporate,2021-11-21,First Class,Shipped Late,Texas,Tables,2,1,0.3,-72,6,718,743
Furniture,Chicago,United States,HW-14935,Helen Wasserman,2021-09-04,CA-2021-140326,60653,FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",Central,3513,Corporate,2021-09-06,First Class,Shipped Late,Illinois,Bookcases,2,1,0.3,-118,9,825,854
Furniture,Houston,United States,CM-12715,Craig Molinari,2019-03-01,CA-2019-133585,77070,FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Central,8782,Corporate,2019-03-04,First Class,Shipped Late,Texas,Bookcases,3,1,0.32,-36,6,1228,1271
Furniture,Arlington,United States,BF-11020,Barry Französisch,2021-09-08,US-2021-124779,76017,FUR-FU-10001095,DAX Black Cherry Wood-Tone Poster Frame,Central,6652,Corporate,2021-09-11,First Class,Shipped Late,Texas,Furnishings,3,1,0.6,-12,2,21,22
Furniture,Houston,United States,EM-13825,Elizabeth Moffitt,2020-09-05,CA-2020-136595,77036,FUR-FU-10004671,"Executive Impressions 12"" Wall Clock",Central,7550,Corporate,2020-09-07,First Class,Shipped Late,Texas,Furnishings,2,1,0.6,-12,3,21,22
Furniture,Houston,United States,SV-20815,Stuart Van,2019-09-21,CA-2019-126697,77041,FUR-FU-10001706,Longer-Life Soft White Bulbs,Central,1419,Corporate,2019-09-24,First Class,Shipped Late,Texas,Furnishings,3,1,0.6,-1,4,5,5
Furniture,Chicago,United States,SP-20650,Stephanie Phelps,2020-11-12,CA-2020-149349,60623,FUR-FU-10001037,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",Central,7331,Corporate,2020-11-13,First Class,Shipped On Time,Illinois,Furnishings,1,1,0.6,-9,6,23,24
Furniture,Tinley Park,United States,LA-16780,Laura Armstrong,2019-05-04,CA-2019-129700,60477,FUR-FU-10001940,Staple-based wall hangings,Central,3403,Corporate,2019-05-05,First Class,Shipped On Time,Illinois,Furnishings,1,1,0.6,-9,7,22,23
